,timestamp,asset,volumeUSD,datetime
340,1671926400000,doge,212882611.44049034,2022-12-25 08:00:00
343,1671926400000,ltc,98597872.07813486,2022-12-25 08:00:00
349,1671926400000,xrp,90770493.30508687,2022-12-25 08:00:00
338,1671926400000,bnb,72103281.36200437,2022-12-25 08:00:00
336,1671926400000,ada,47899907.721536905,2022-12-25 08:00:00
346,1671926400000,sol,42938943.22618979,2022-12-25 08:00:00
344,1671926400000,matic,40122510.71085529,2022-12-25 08:00:00
345,1671926400000,shib,24303570.82889218,2022-12-25 08:00:00
347,1671926400000,trx,23578439.95591386,2022-12-25 08:00:00
337,1671926400000,avax,20774104.516668264,2022-12-25 08:00:00
341,1671926400000,dot,20033983.181224905,2022-12-25 08:00:00
348,1671926400000,uni,11012677.05308249,2022-12-25 08:00:00
325,1671840000000,btc,2893290902.8446302,2022-12-24 08:00:00
328,1671840000000,eth,629408027.4265656,2022-12-24 08:00:00
332,1671840000000,sol,116640481.38329987,2022-12-24 08:00:00
326,1671840000000,doge,70232712.03166401,2022-12-24 08:00:00
324,1671840000000,bnb,60529463.40146786,2022-12-24 08:00:00
335,1671840000000,xrp,55290922.23967995,2022-12-24 08:00:00
329,1671840000000,ltc,40858164.91762484,2022-12-24 08:00:00
330,1671840000000,matic,33208287.382566962,2022-12-24 08:00:00
322,1671840000000,ada,31675239.997335643,2022-12-24 08:00:00
333,1671840000000,trx,22363564.36768108,2022-12-24 08:00:00
331,1671840000000,shib,15487649.875189751,2022-12-24 08:00:00
327,1671840000000,dot,15215349.57855338,2022-12-24 08:00:00
323,1671840000000,avax,11578179.099394508,2022-12-24 08:00:00
334,1671840000000,uni,6721211.25687259,2022-12-24 08:00:00
311,1671753600000,btc,5252999083.990841,2022-12-23 08:00:00
314,1671753600000,eth,1436653155.6468139,2022-12-23 08:00:00
321,1671753600000,xrp,219987024.1807203,2022-12-23 08:00:00
312,1671753600000,doge,199153528.74204913,2022-12-23 08:00:00
310,1671753600000,bnb,102587762.22048138,2022-12-23 08:00:00
318,1671753600000,sol,76011876.3513977,2022-12-23 08:00:00
316,1671753600000,matic,72985149.98347686,2022-12-23 08:00:00
308,1671753600000,ada,71895406.19925515,2022-12-23 08:00:00
315,1671753600000,ltc,69032158.39954337,2022-12-23 08:00:00
319,1671753600000,trx,34389489.19455749,2022-12-23 08:00:00
317,1671753600000,shib,33786786.80605027,2022-12-23 08:00:00
313,1671753600000,dot,32743524.720057663,2022-12-23 08:00:00
309,1671753600000,avax,21383571.657102842,2022-12-23 08:00:00
320,1671753600000,uni,12510441.333990881,2022-12-23 08:00:00
297,1671667200000,btc,5739293222.017263,2022-12-22 08:00:00
300,1671667200000,eth,1780843813.3489606,2022-12-22 08:00:00
298,1671667200000,doge,279498856.25584143,2022-12-22 08:00:00
