,exchange,volumeUSD
0,mexc,1231338946262.2307
1,binance,279830752589.9032
2,huobi,126448213756.10086
3,bybit,56386899986.19122
4,gdax,35496147616.44339
5,okex,19509498884.697647
6,kraken,13732274188.50161
7,gemini,6420983298.028416
8,bitstamp,3532496952.059654
9,bitfinex,3180263726.6664195
